Day,Data,Partenza,Arrivo,Pernotto,Cosa Vedere,Note,Link
1,lunedì 27 luglio 2026,Monaco,Palm Springs,Hilton Garden Inn Palm Springs/Rancho Mirage,-,12:15-15:15,
2,martedì 28 luglio 2026,Palm Springs,Bakersfield,Spark by Hilton Bakersfield Central,"Joshua Tree:
Skull Rock: formazione rocciosa iconica e facilmente raggiungibile

Keys View: punto panoramico con vista fino al Salton Sea e in condizioni ideali fino al Messico

Cholla Cactus Garden: giardino di cactus mozzafiato, perfetto all'alba/tramonto","KEYS VIEW

SKULL ROCK

SPLIT ROCK

CHOLLA CACTUS GARDEN

COTTONWOOD OASIS

OASIS OF MARA

Edwards Air Force Base (da vedere per strada)",
3,mercoledì 29 luglio 2026,Bakersfield,Fresno,Home 2 Suites Fresno Nothwest,"Sequoia:
Ash Mountain Entrance
Giant Forest
Generale Sherman
Crystal Cave
Moro Rock",,
4,giovedì 30 luglio 2026,Fresno,Modesto,Spark by Hilton Modesto,"Yosemite:
Mariposa Groove
Tunnel View
Inspiration Point
Glacier Point
Yosemite Falls
El Capitan
Half Dome(Escursione Mirror Lake Trail)",,
5,venerdì 31 luglio 2026,Modesto,Reno,Home 2 Suites Hilton Reno,"Lake Tahoe Parte Est
Carson City
Reno
",,
6,sabato 1 agosto 2026,Reno,Sacramento,Home2 Suites by Hilton West Sacramento,"Reno
Tahoe Ovest - Tahoe City
Viaggio per Sacramento",,
7,domenica 2 agosto 2026,Sacramento,San Francisco,Dala City - San Francisco,"Giornata a Sacramento
Passeggiata serale Daly City → San Bruno Mountain vista Bay Bridge",,
8,lunedì 3 agosto 2026,San Francisco ,San Francisco ,Dala City - San Francisco,"Mattina: Alcatraz ferry da Pier 33 (parti presto da Daly City)

Pomeriggio: Fisherman's Wharf, Pier 39 (leoni marini), Lombard Street

Sera: Cable Car a Powell Street",,
9,martedì 4 agosto 2026,San Francisco ,San Francisco ,Dala City - San Francisco,"Mattina: Tour Oracle Park (inizia Juan Marichal Statue, dugout + campo)

Pomeriggio: Embarcadero → Ferry Building (street food), Chinatown

Sera: Golden Gate Bridge al tramonto (da Presidio)",,
10,mercoledì 5 agosto 2026,San Francisco ,San Francisco ,Dala City - San Francisco,"Mattina: Cupertino (45 min sud) — Apple Park Visitor Center (AR experience, cafe, store esclusivo), Steve Jobs Theater

Pomeriggio: Ritorno SF → Golden Gate Park (giardini giapponesi, bisonte paddock), Haight-Ashbury (hippie vibes)

Opzionale: Mission District murales + tacos
",,
11,giovedì 6 agosto 2026,San Francisco,Monaco,,"Mattina: Muir Woods (sequoie, 30 min nord, prenota shuttle se serve)

Pomeriggio: relax o shopping 

Sera: SFO aeroporto (20 min dal tuo Airbnb)",21:05-17:10,